Provincia,Area,Poblacion
Buenos Aires ,30757100,15625084
Santa Cruz ,24394300,273964
Chubut ,22468600,509108
Río Negro ,20301300,638645
Córdoba ,16532100,3308876
Salta ,15548800,1214441
Mendoza ,14882700,1738929
La Pampa ,14344000,318951
Santiago del Estero ,13635100,874006
Santa Fe ,13300700,3194537
Catamarca ,10260200,367828
Chaco ,9963300,1055259
Neuquén ,9407800,551266
La Rioja ,8968000,333642
San Juan ,8965100,681055
Corrientes ,8819900,992595
Entre Ríos ,7878100,1235994
San Luis ,7674800,432310
Formosa ,7206600,530162
Jujuy ,5321900,673307
Misiones ,2980100,1101593
Tucumán ,2252400,1448188
Ciudad Autónoma de Buenos Aires ,20200,2890151
Tierra del Fuego,2147800,127205
